country,slope,intercept,r_squared
Afghanistan,0.0006640012059883882,-0.12863184061910304,0.8944099984319495
Albania,0.0005441760227689414,-0.24252617766812684,0.8211499145351906
Algeria,0.0007515420922190911,-0.12995076283401497,0.9056517352947006
Angola,0.0006620749129023414,0.0718060355911948,0.9401252419158577
Antarctica,6.776434625364041e-05,0.01898483130502257,0.8434555671587375
Argentina,0.0003079348007171457,0.07163572107130306,0.9094272243481475
Armenia,0.0005241475456684802,-0.2638508754320375,0.7829596487210584
Australia,0.0005054790397705424,0.06627263620393964,0.9467042684047142
Austria,0.00044602826836094605,-0.14012191741590208,0.8041498776315757
Azerbaijan,0.0004888633676678668,-0.21554917206972035,0.7988146397903676
Bangladesh,0.0003238012673526456,-0.014025491120054467,0.7475443049965844
Belarus,0.00040341854066089963,-0.10470890916308956,0.7256050221299427
Belgium,0.0003070946971386484,-0.11957431780020594,0.7079115374674241
Benin,0.0005694178242789624,0.06775496923007107,0.8955433074180289
Bhutan,0.00055970650313376,-0.08696816283104469,0.9396634214656272
Bolivia,0.0007053387716404405,0.02640138340740794,0.9280276910879638
Bosnia_and_Herz.,0.0005380756927454345,-0.199752745181844,0.7996709552125736
Botswana,0.000754453420244979,0.040216918679902625,0.9189115107950693
Brazil,0.0006383767971712061,0.0332554041426234,0.9275357851339094
Brunei,0.0004489830038584944,0.02578937490307598,0.9257339912853211
Bulgaria,0.0005433684780013977,-0.23023778880336593,0.8095256143727546
Burkina_Faso,0.0006568512473786293,0.07594641602842889,0.8770013155140848
Burundi,0.0005440039170149753,-0.07984616983586357,0.8850219846149697
Cambodia,0.0007351159184780539,0.10343762419296865,0.9262314124859051
Cameroon,0.0005864441961896796,0.04043838995298721,0.9168238227573531
Canada,0.0004833196036567506,0.008971368188073314,0.9012113749567988
Central_African_Rep.,0.0006126212708558469,0.0515972966408107,0.9150113049269097
Chad,0.0007811416516965731,-0.020775997470468655,0.900746758198356
Chile,0.00028712143588413883,0.03671587640011148,0.8943093971095635
China,0.000588662845917579,-0.1414988464203274,0.9008392077928912
Colombia,0.0005570109357995916,-0.01298158633973967,0.8731676193386215
Congo,0.0005323919406881889,0.005988777062121309,0.9076592494180307
Costa_Rica,0.0006072948789092687,0.022277823230690497,0.9046140441634172
Cuba,0.0005588337993635512,-0.036917348610741696,0.9447059352078694
Cyprus,0.000576579668200122,-0.19044985555688665,0.8326601985976447
Czechia,0.00040905600154900765,-0.07931989009604262,0.7809386600717924
Côte_d'Ivoire,0.0005802854190330631,0.1369744217565293,0.9157090243478797
Dem._Rep._Congo,0.0005700613215785991,-0.011566124024622093,0.9130555871941582
Denmark,0.00024513225642376824,-0.04024253510444192,0.6836379928016818
Djibouti,0.0006662659124854687,0.031847855989865614,0.9363312098053618
Ecuador,0.0005082875801304032,-0.02285486246956503,0.8435525626787942
Egypt,0.0007126021652496189,-0.16651657744807047,0.8867059677919162
Eritrea,0.0008066193333507121,0.0011325462605789038,0.93293878035269
Estonia,0.0003551289860996045,-0.07243925763440989,0.7096581937321953
Ethiopia,0.0006257697784324574,0.08481822867258171,0.9346216783558245
Fiji,0.00026774515334688625,0.027185132198137063,0.9663263284213869
Finland,0.000273563277115977,-0.04919098604303074,0.6820637185598833
France,0.0004144464243649666,-0.08769537680861633,0.8419325535266139
Gabon,0.0005087016506518668,0.029425520417966644,0.9146532688836263
Georgia,0.0005254097586189154,-0.2563140789924049,0.772189325789061
Germany,0.00033903777894089306,-0.09238589587314877,0.7568282356869136
Ghana,0.0005740696335249321,0.06192081891209689,0.9003735522983293
Greece,0.0005204463187239148,-0.20422132346790106,0.8394131457830754
Greenland,0.00014606559392922976,0.02680571614920682,0.6197552020932284
Guatemala,0.0007322990294182452,0.0681809713980639,0.9449847974380101
Guinea,0.0006541336848423847,0.16783064417965443,0.9245714575850472
Guinea-Bissau,0.0006090358858383887,0.09029071152432533,0.9145999215399575
